transaction_amt,transaction_hr,payment_mtd,product_cat,product_qty,customer_age,customer_dev,account_days
340.32,8,debit card,toys & games,5,29,desktop,360
95.77,20,credit card,electronics,5,45,mobile,325
53.69,13,debit card,toys & games,3,41,mobile,138
95.13,19,credit card,electronics,4,51,mobile,95
36.12,14,PayPal,toys & games,2,39,tablet,301
10.14,5,credit card,home & garden,1,24,mobile,347
258.23,22,PayPal,toys & games,4,41,tablet,44
438.16,12,credit card,electronics,1,34,tablet,118
23.67,6,bank transfer,electronics,5,35,desktop,58
148.94,0,PayPal,clothing,3,45,mobile,297
369.54,13,debit card,toys & games,5,22,tablet,336
77.27,4,PayPal,clothing,4,45,tablet,61
52.34,15,PayPal,electronics,1,34,desktop,224
32.75,11,PayPal,toys & games,5,60,desktop,214
149.6,23,bank transfer,clothing,5,23,tablet,85
54.74,13,credit card,health & beauty,2,37,tablet,126
15.7,22,credit card,health & beauty,4,30,mobile,261
14.63,21,credit card,toys & games,2,35,mobile,249
28.34,18,credit card,toys & games,1,44,mobile,71
543.58,15,bank transfer,electronics,5,31,tablet,191
18.89,10,debit card,toys & games,1,31,tablet,136
13.56,11,PayPal,health & beauty,4,20,tablet,165
679.85,21,credit card,electronics,5,24,tablet,179
40.56,4,debit card,electronics,2,32,tablet,232
85.46,2,debit card,toys & games,3,17,mobile,65
39.58,3,debit card,electronics,4,41,desktop,151
25.72,6,credit card,clothing,5,40,desktop,228
12.95,9,credit card,health & beauty,3,32,desktop,196
633.19,2,bank transfer,electronics,3,20,desktop,197
669.81,1,bank transfer,electronics,4,36,tablet,179
218.66,18,credit card,toys & games,3,45,desktop,96
159,22,debit card,home & garden,3,28,desktop,148
11.97,6,bank transfer,health & beauty,5,43,mobile,280
95.39,21,PayPal,clothing,4,37,desktop,315
15.33,1,bank transfer,home & garden,5,17,desktop,14
196.86,13,PayPal,home & garden,5,50,tablet,94
34.73,15,credit card,toys & games,1,29,desktop,100
106.34,16,debit card,electronics,2,24,mobile,38
