winner,weight_class,is_title_bout,gender,total_rounds,r_weight,b_weight,r_height,b_height,r_reach,b_reach,r_stance,b_stance,r_wins,r_losses,r_SS_land_pm,r_SS_att_pm,r_SS_acc,r_TD_acc,r_SS_def_pct,r_TD_def_pct,b_wins,b_losses,b_SS_land_pm,b_SS_att_pm,b_SS_acc,b_TD_acc,b_SS_def_pct,b_TD_def_pct,r_age,b_age
Blue,Flyweight,0,Women,5,56.7,56.7,160.02,165.1,167.64,165.1,Orthodox,Orthodox,12,5,4.63,3.4,0.4,0.51,0.61,0.85,13,6,3.69,3.51,0.41,0.47,0.63,0.59,30,31
Red,Heavyweight,0,Men,3,106.59,119.75,190.5,182.88,200.66,187.96,Orthodox,Southpaw,10,1,2.87,1.7,0.52,0.5,0.6,1,7,4,4.09,5.02,0.54,0,0.47,0.5,34,30
Red,Middleweight,0,Men,3,83.91,83.91,187.96,185.42,190.5,193.04,Orthodox,Orthodox,13,4,3.6,4.09,0.52,0.38,0.45,0.63,7,3,4.29,5.31,0.46,0.75,0.46,0.65,26,32
Red,Bantamweight,0,Men,3,61.23,61.23,177.8,172.72,177.8,170.18,Switch,Southpaw,8,0,8.05,3.58,0.54,0,0.51,0.9,9,2,5.32,4.18,0.46,0.28,0.51,0.47,25,23
Blue,Featherweight,0,Men,3,65.77,65.77,177.8,177.8,177.8,182.88,Orthodox,Switch,18,6,7.36,5.57,0.56,0.23,0.43,0.61,14,5,2.88,1.73,0.49,0.34,0.65,0.6,35,27
Red,Featherweight,0,Men,3,65.77,65.77,185.42,177.8,193.04,175.26,Orthodox,Orthodox,16,5,6.48,5.25,0.42,0,0.53,1,8,2,6.03,8.2,0.57,0,0.52,0.66,27,29
Blue,Lightweight,0,Men,3,70.31,70.31,180.34,180.34,177.8,182.88,Orthodox,Orthodox,21,8,4.37,4.07,0.43,0.36,0.48,0.46,17,6,3.38,3.59,0.47,0.23,0.58,1,37,34
Blue,Featherweight,0,Men,3,65.77,65.77,175.26,185.42,182.88,187.96,Orthodox,Southpaw,16,6,3.21,3.74,0.37,0.6,0.57,0.72,29,12,6.14,6.29,0.48,0.46,0.47,0.58,28,34
Red,Bantamweight,0,Men,3,61.23,61.23,170.18,177.8,167.64,180.34,Orthodox,Orthodox,14,2,3.28,2.55,0.47,0.22,0.68,0.85,20,10,4,4.08,0.43,0.28,0.57,0.68,29,36
Red,Featherweight,0,Men,3,65.77,65.77,180.34,180.34,185.42,185.42,Orthodox,Switch,14,5,3.44,3.36,0.46,0,0.63,0.28,9,2,7.15,7.36,0.4,1,0.6,0.84,29,30
Blue,Flyweight,0,Men,3,56.7,56.7,170.18,170.18,175.26,170.18,Orthodox,Orthodox,8,1,7.17,4.33,0.52,0.71,0.47,0.5,8,0,3.98,2.67,0.6,0.66,0.6,0.61,20,25
Blue,Heavyweight,0,Men,3,108.41,120.2,187.96,193.04,200.66,200.66,Orthodox,Orthodox,11,3,3.18,4.21,0.37,0.18,0.52,0,9,0,4.54,3.94,0.51,0.41,0.59,0.5,34,28
Blue,Heavyweight,0,Men,5,119.75,112.94,187.96,190.5,190.5,198.12,Southpaw,Orthodox,15,7,3.96,5.05,0.49,0,0.43,0.57,25,8,3.6,3.35,0.48,0.33,0.55,0.79,31,38
Red,Heavyweight,0,Men,3,92.99,92.99,190.5,195.58,203.2,210.82,Southpaw,Southpaw,27,17,3.03,3.32,0.47,0.36,0.47,0.67,12,5,5.13,4.9,0.45,0.45,0.5,0.8,40,31
Red,Featherweight,0,Men,3,65.77,65.77,170.18,170.18,180.34,180.34,Orthodox,Orthodox,11,1,3.45,2.28,0.48,0.54,0.57,0.66,6,1,2.88,2.53,0.58,0.47,0.39,0,26,27
Blue,Bantamweight,0,Women,3,61.23,61.23,170.18,180.34,167.64,182.88,Orthodox,Orthodox,17,8,4.74,3.67,0.49,0.33,0.53,0.66,10,3,3.53,2.53,0.44,0.37,0.46,0.62,32,32
Red,Middleweight,0,Men,3,83.91,83.91,185.42,182.88,195.58,182.88,Southpaw,Southpaw,36,17,3.18,3.37,0.45,0.38,0.53,0.34,18,12,5.35,4.59,0.48,0.22,0.44,0.5,36,34
Blue,Lightweight,0,Men,3,70.31,70.31,175.26,182.88,180.34,182.88,Southpaw,Orthodox,8,2,3.7,3.19,0.52,0.58,0.58,0.41,11,2,5.35,5.76,0.52,0.53,0.55,0.64,32,31
Blue,Bantamweight,0,Women,3,61.23,61.23,157.48,172.72,170.18,172.72,Southpaw,Southpaw,10,2,5.99,5.25,0.44,0,0.53,0.58,6,2,3.45,3.09,0.45,0.6,0.49,0.33,30,33
Red,Flyweight,0,Men,3,56.7,56.7,170.18,170.18,172.72,185.42,Orthodox,Southpaw,16,3,2.36,2,0.41,0.33,0.47,0.55,12,7,3.46,4.44,0.38,0.27,0.44,0.64,30,32
Blue,Featherweight,0,Men,3,65.77,65.77,177.8,180.34,185.42,177.8,Orthodox,Switch,11,3,3.2,3.24,0.42,0,0.56,0.67,9,1,8.3,9.47,0.58,0.5,0.59,1,29,27
Red,Strawweight,0,Women,3,52.16,52.16,160.02,160.02,172.72,147.32,Orthodox,Orthodox,8,1,3.33,1.85,0.52,0.23,0.62,0,8,3,3,3.19,0.4,0.58,0.48,0.71,28,24
Red,Lightweight,0,Men,3,70.31,70.31,175.26,180.34,177.8,180.34,Orthodox,Orthodox,18,7,2.47,4.19,0.4,0.44,0.55,0.56,8,2,2.37,3.34,0.42,1,0.36,0,29,31
Blue,Bantamweight,0,Men,3,61.23,61.23,170.18,167.64,170.18,162.56,Orthodox,Orthodox,8,4,2.13,5.56,0.4,0.8,0.46,1,13,7,3.6,3.11,0.45,0.3,0.53,0.42,31,37
Red,Bantamweight,1,Men,5,61.23,61.23,180.34,172.72,182.88,177.8,Switch,Switch,18,1,7.63,3.52,0.61,0.42,0.62,0.62,23,9,4.31,5.48,0.49,0.39,0.5,0.7,29,31
Red,Lightweight,0,Men,5,70.31,70.31,175.26,180.34,182.88,185.42,Southpaw,Southpaw,30,8,5.45,4.36,0.51,0.36,0.53,0.63,13,2,5.7,4.98,0.54,0.37,0.42,0.69,35,28
Blue,Welterweight,0,Men,3,77.11,77.11,190.5,190.5,205.74,200.66,Orthodox,Switch,25,11,4.24,3.19,0.49,0.38,0.5,0.54,22,2,3.14,1.6,0.69,0.25,0.55,0.66,31,36
Blue,Welterweight,0,Men,3,77.11,77.11,177.8,180.34,180.34,185.42,Orthodox,Switch,22,7,3.29,3.42,0.48,0.38,0.54,0.5,17,2,6.74,4.27,0.53,0.16,0.66,0.7,37,27
Red,Bantamweight,0,Men,3,61.23,61.23,170.18,172.72,170.18,170.18,Switch,Orthodox,17,5,5.14,4.36,0.53,0.51,0.58,0.85,21,8,4.49,3.96,0.43,0.4,0.55,0.72,31,26
Red,Heavyweight,0,Men,3,120.2,92.99,193.04,190.5,203.2,200.66,Orthodox,Orthodox,18,4,3.53,1.83,0.5,0.53,0.59,0.31,20,3,2.54,0.74,0.64,0.59,0.4,0.75,33,32
Blue,Flyweight,0,Women,3,56.7,56.7,175.26,165.1,172.72,165.1,Orthodox,Switch,18,6,4.58,4.48,0.34,0.15,0.62,0.5,14,2,4.7,2.9,0.53,0.43,0.54,0.53,35,25
Red,Lightweight,0,Men,3,70.31,70.31,177.8,172.72,177.8,177.8,Southpaw,Southpaw,24,2,3.09,3.07,0.51,0.35,0.59,0.9,32,16,3.48,3.21,0.47,0.35,0.6,0.55,33,39
Blue,Bantamweight,0,Men,3,61.23,61.23,167.64,172.72,165.1,182.88,Orthodox,Orthodox,20,9,5.32,6.23,0.43,0.18,0.56,0.82,12,2,5.72,3.38,0.45,0.46,0.61,0.75,37,28
Blue,Heavyweight,0,Men,3,92.99,92.99,185.42,187.96,190.5,198.12,Southpaw,Orthodox,17,10,4.44,3.43,0.43,0.57,0.47,0.76,18,5,3.8,3.59,0.49,0.33,0.46,1,30,38
Red,Middleweight,0,Men,3,83.91,83.91,185.42,182.88,185.42,187.96,Orthodox,Southpaw,30,11,5.15,3.71,0.54,0.55,0.58,0.94,19,7,5.06,4.26,0.5,0.44,0.61,0.48,30,29
Red,Heavyweight,0,Men,3,120.2,120.2,200.66,193.04,213.36,200.66,Orthodox,Orthodox,5,0,23.33,6.67,0.77,0,0.6,0,15,8,4.55,4.88,0.48,0.33,0.41,0.46,35,34
Blue,Flyweight,0,Men,3,56.7,56.7,167.64,162.56,172.72,165.1,Orthodox,Orthodox,12,5,5.24,4.62,0.57,0,0.52,0.6,19,2,3.02,1.42,0.59,0.57,0.53,0,32,30
Red,Flyweight,0,Women,3,56.7,56.7,167.64,170.18,165.1,170.18,Orthodox,Orthodox,17,8,7.1,4.89,0.51,0.55,0.51,0.58,11,6,4.42,4.89,0.33,0.24,0.51,0.42,38,32
Red,Heavyweight,0,Men,5,109.77,120.2,187.96,193.04,198.12,198.12,Orthodox,Orthodox,14,5,3.44,2.78,0.49,0,0.47,0.75,12,1,2.63,4.73,0.44,0.14,0.42,1,36,34
Red,Heavyweight,0,Men,3,92.99,92.99,187.96,190.5,195.58,200.66,Orthodox,Orthodox,11,0,2.74,2.49,0.45,0.68,0.45,0.71,10,5,2.9,2.39,0.59,0.3,0.56,0.5,26,32
Blue,Flyweight,0,Men,3,56.7,56.7,167.64,170.18,165.1,177.8,Orthodox,Orthodox,24,8,4.12,3.14,0.46,0.44,0.59,0.82,12,0,1.53,1.36,0.48,0.41,0.57,0,32,23
Red,Bantamweight,0,Men,3,61.23,61.23,172.72,170.18,175.26,172.72,Orthodox,Orthodox,17,0,4.75,0.56,0.69,0.56,0.76,1,11,2,0.2,4.53,0.18,0,0.3,0,28,26
Blue,Flyweight,0,Men,3,56.7,56.7,172.72,172.72,177.8,172.72,Orthodox,Orthodox,16,8,4.23,4.56,0.38,0.44,0.55,0.5,12,1,4.57,3.64,0.48,0.3,0.55,0.77,34,28
Red,Middleweight,0,Men,3,83.91,83.91,185.42,187.96,190.5,203.2,Southpaw,Orthodox,16,8,3.41,4.17,0.47,0.26,0.5,0.79,13,11,2.65,3.62,0.47,0.4,0.5,0.67,36,35
Red,Bantamweight,0,Men,3,61.23,61.23,175.26,167.64,177.8,167.64,Switch,Orthodox,20,3,5.42,2.94,0.47,0.5,0.5,0.4,11,3,3.06,4.56,0.52,0.75,0.53,0.5,28,23
Red,Bantamweight,0,Men,3,61.23,61.23,172.72,175.26,172.72,175.26,Orthodox,Orthodox,11,2,3.43,3.61,0.43,0.16,0.71,0.79,14,1,5.42,2.97,0.53,0.4,0.62,0.85,36,28
Red,Middleweight,0,Men,3,83.91,83.91,187.96,185.42,200.66,195.58,Switch,Orthodox,10,1,5.96,3.82,0.62,0.14,0.5,0.5,11,5,3.59,4.9,0.51,0.5,0.3,0.66,28,31
Red,Lightweight,0,Men,3,70.31,70.31,170.18,177.8,182.88,180.34,Southpaw,Orthodox,21,4,3.96,3.74,0.55,0.47,0.53,0.83,11,4,7.66,11.9,0.29,0,0.48,0.33,29,29
Blue,Lightweight,0,Men,3,70.31,70.31,172.72,180.34,175.26,175.26,Orthodox,Orthodox,15,4,4.14,3.6,0.34,0.3,0.59,0.2,18,5,2.93,4.73,0.42,0.57,0.45,0.55,28,33
Blue,Flyweight,0,Men,5,56.7,56.7,170.18,175.26,177.8,172.72,Orthodox,Southpaw,21,8,3.87,3.63,0.44,0.46,0.59,0.63,16,7,4.33,3.42,0.36,0.6,0.46,0.4,30,31
Blue,Featherweight,0,Men,5,65.77,65.77,180.34,172.72,180.34,175.26,Orthodox,Switch,16,5,4.65,3.99,0.46,0.27,0.52,0.58,16,3,4.07,6.54,0.38,0.27,0.49,0.57,31,33
Red,Lightweight,0,Men,3,70.31,70.31,185.42,177.8,195.58,175.26,Switch,Orthodox,15,1,5.86,5.06,0.41,0.33,0.56,0.94,12,2,4.58,5.66,0.41,0,0.52,0.25,24,21
Red,Strawweight,0,Women,3,52.16,52.16,160.02,165.1,162.56,162.56,Orthodox,Orthodox,11,1,6.26,5.12,0.38,0,0.55,1,8,6,4.03,4.51,0.45,0.3,0.56,0.57,25,31
Red,Lightweight,0,Men,3,70.31,70.31,177.8,177.8,185.42,180.34,Switch,Orthodox,15,2,8.14,3.15,0.58,0.66,0.56,0.88,11,2,4.88,3.65,0.46,0.38,0.49,0.33,29,30
Blue,Bantamweight,0,Men,3,61.23,61.23,172.72,170.18,177.8,170.18,Orthodox,Orthodox,18,5,4.19,4.55,0.4,0.37,0.55,0.84,18,5,5.22,4.79,0.51,0.32,0.61,0.85,27,36
Red,Flyweight,0,Men,3,56.7,56.7,162.56,167.64,157.48,180.34,Orthodox,Orthodox,10,2,1.49,1.11,0.5,0.33,0.59,0.4,10,3,1.66,4.14,0.4,0.27,0.3,0.55,28,25
Red,Flyweight,0,Men,3,56.7,56.7,170.18,167.64,180.34,177.8,Orthodox,Switch,11,5,2.69,4.1,0.48,0,0.43,0.41,11,6,3.95,8.28,0.45,0.5,0.34,0,28,27
Blue,Lightweight,0,Men,3,70.31,70.31,177.8,185.42,182.88,190.5,Southpaw,Orthodox,13,4,1.56,2.78,0.49,0.36,0.46,0.6,15,4,2.7,1.72,0.48,0.23,0.65,0.67,27,27
Red,Flyweight,0,Men,3,56.7,56.7,167.64,167.64,165.1,175.26,Orthodox,Orthodox,17,2,2,3.56,0.41,0.5,0.47,0.63,14,5,4.59,5.16,0.5,0.58,0.56,0.62,24,31
Blue,Flyweight,0,Men,3,56.7,56.7,172.72,170.18,177.8,177.8,Switch,Orthodox,12,4,4.55,3.7,0.57,0.39,0.54,0.63,8,1,4.53,5.07,0.34,0,0.4,0.16,33,23
Blue,Featherweight,0,Men,3,65.77,65.77,175.26,175.26,180.34,177.8,Orthodox,Orthodox,9,3,2.07,1.57,0.7,0.8,0.4,0.62,11,2,3.33,4.57,0.46,0.33,0.41,0.57,37,29
